"MEASURE - Absolute value in thousands"

YEAR,"1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"    Southern Asia",493338.552,501460.114,510026.154,519036.176,528491.024,538392.59,548744.026,559549.768,570815.046,582545.64,594746.439,607420.0820000001,620565.759,634178.554,648251.183,662778.04,677768.551,693226.362,709134.768,725471.019,742225.23,759389.243,776987.005,795080.689,813753.0379999999,833065.342,853026.507,873622.941,894862.554,916747.987,939270.8270000001,962426.543,986184.404,1010473.296,1035201.054,1060289.499,1085698.141,1111402.325,1137358.471,1163524.371,1189861.406,1216334.641,1242913.716,1269571.535,1296284.472,1323030.438,1349771.122,1376482.684,1403174.536,1429868.828,1456569.462,1483272.106,1509928.844,1536447.37,1562709.125,1588623.891,1614165.442,1639339.651,1664131.423,1688535.02,1712555.446,1736167.117,1759387.932,1782321.561,1805108.302,1827847.299,1850569.594,1873241.08,1895813.981,1918211.396,1940369.605,1962272.39,1983914.039,2005251.003,2026233.758,2046820.848,2066982.548,2086702.527,2105969.899,2124780.506,2143126.841,2160997.222,2178371.569,2195225.153,2211529.776,2227264.232,2242417.137,2256987.561,2270978.943,2284400.442,2297260.033,2309556.298,2321289.611,2332472.877,2343122.947,2353252.8,2362866.291,2371962.887,2380544.703,2388612.718,2396166.673
"    Western Asia",43149.079,44263.102,45412.488,46591.733,47797.734,49029.948,50290.328,51583.314,52915.451,54294.603,55728.312,57221.632,58775.345,60385.225,62044.299,63748.94,65497.662,67297.07799999999,69161.795,71111.01700000001,73158.636,75312.68300000001,77570.21000000001,79921.306,82350.36900000001,84847.038,87402.709,90022.914,92728.29399999999,95547.605,98498.107,101591.727,104813.052,108119.102,111450.71,114766.348,118043.629,121296.642,124564.335,127904.894,131357.672,134942.105,154856.242,158549.206,162210.62,165812.086,169348.122,172845.759,176350.029,179922.853,183615.534,187425.384,191356.35,195471.942,199850.066,204536.604,209558.408,214872.81,220367.713,225887.789,231313.899,236610.953,241789.623,246832.978,251735.711,256497.426,261093.786,265524.063,269842.513,274126.219,278429.413,282772.891,287136.577,291483.985,295759.134,299921.913,303963.167,307896.813,311732.361,315486.81,319173.388,322792.901,326343.072,329831.364,333266.887,336656.072,340002.113,343304.432,346561.176,349768.507,352923.066,356024.538,359072.632,362063.596,364992.959,367856.997,370653.272,373380.781,376038.981,378628.071,381147.627
"  Europe",575801.619,581352.919,587391.586,593744.723,600280.677,606908.61,613581.27,620292.0770000001,627069.575,633966.193,641026.939,648255.1899999999,655583.368,662860.0500000001,669885.969,676519.7879999999,682695.09,688451.518,693886.377,699151.103,704356.834,709531.907,714642.505,719664.677,724554.936,729283.629,733853.9030000001,738287.6,742596.446,746796.242,750901.91,754892.2610000001,758769.643,762597.271,766459.762,770403.379,774458.481,778566.165,782573.656,786272.11,789508.106,792261.562,726816.7780000001,728127.665,729045.0010000001,729556.412,729630.411,729328.8370000001,728850.629,728462.277,728360.588,728617.292,729197.665,730058.324,731111.932,732288.306,733586.469,735017.727,736534.273,738077.048,739598.573,741063.665,742461.822,743800.079,745098.421,746363.085,747599.554,748774.348,749809.209,750602.902,751085.6,751225.392,751049.586,750622.786,750041.254,749378.042,748654.6850000001,747859.231,746992.9570000001,746048.192,745020.769,743918.574,742754.301,741533.7610000001,740262.233,738944.201,737583.464,736182.689,734744.7240000001,733271.512,731764.5550000001,730225.53,728654.5600000001,727048.692,725403.621,723715.9,721985.241,720211.855,718393.13,716526.318,714609.3270000001
"    Eastern Europe",251023.484,254710.957,258715.639,262940.333,267303.353,271738.388,276195.204,280638.746,285048.011,289412.813,293725.505,297972.1,302124.34,306136.681,309955.196,313546.067,316887.054,319998.41,322943.036,325810.734,328669.767,331541.207,334416.606,337298.848,340182.493,343063.355,345945.958,348836.319,351731.825,354627.496,357517.262,360377.782,363198.366,365997.41,368802.912,371620.225,374465.941,377288.933,379944.952,382243.313,384048.594,385316.661,310506.142,310395.193,310025.833,309435.124,308637.29,307645.439,306498.215,305241.444,303918.405,302544.973,301147.734,299792.696,298558.1,297500.556,296646.522,295987.793,295500.101,295140.691,294872.867,294690.687,294589.608,294533.619,294479.08,294390.75,294252.018,294056.07,293790.26,293444.921,293013.21,292486.604,291862.973,291151.863,290368.592,289525.733,288627.301,287673.753,286670.309,285622.116,284534.626,283412.276,282260.698,281087.82,279902.495,278712.268,277521.516,276333.283,275151.909,273981.144,272823.978,271682.685,270558.023,269449.132,268353.938,267270.416,266198.137,265136.244,264081.456,263029.622,261977.193
"    Northern Europe",72412.10799999999,72582.588,72802.95600000001,73060.845,73347.44100000001,73657.46799999999,73989.41099999999,74345.265,74729.943,75150.048,75610.792,76112.342,76646.842,77196.96400000001,77739.929,78257.991,78744.136,79198.75500000001,79621.151,80013.276,80376.50900000001,80710.136,81012.094,81281.556,81517.87699999999,81721.621,81893.912,82038.28999999999,82160.965,82269.776,82371.86199999999,82469.488,82565.836,82670.41499999999,82794.372,82945.75599999999,83128.80800000001,83342.39900000001,83581.986,83840.023,84110.545,84394.277,92521.226,92739.431,92954.95600000001,93176.74400000001,93410.754,93657.62699999999,93915.60799999999,94181.042,94454.223,94726.769,95007.69,95334.573,95757.24800000001,96307.37,97002.474,97821.232,98708.414,99586.41,100398.301,101122.967,101773.522,102369.128,102943.058,103518.956,104100.674,104676.514,105237.1,105768.532,106261.271,106712.52,107127.639,107515.097,107887.106,108252.735,108615.103,108972.4,109322.832,109663.001,109990.345,110305.311,110609.717,110904.236,111189.676,111466.787,111735.809,111997.094,112252.032,112502.287,112749.063,112992.739,113233.128,113469.652,113701.395,113927.584,114148.194,114363.03,114570.867,114770.228,114959.963
"    Southern Europe",109231.304,110157.246,111108.441,112058.637,112990.627,113895.928,114775.726,115640.092,116506.507,117397.611,118333.547,119324.285,120362.655,121421.433,122461.703,123457.307,124394.512,125287.105,126169.856,127092.398,128088.797,129167.083,130310.387,131497.349,132695.769,133879.023,135041.625,136180.732,137275.398,138301.276,139240.502,140083.901,140832.606,141492.171,142073.854,142587.278,143033.476,143413.495,143737.974,144020.046,144270.45,144506.801,144734.283,144937.328,145091.683,145187.868,145206.199,145173.921,145184.346,145361.991,145790.001,146502.166,147454.618,148555.745,149672.845,150703.825,151624.55,152446.574,153147.626,153711.179,154128.135,154379.793,154468.859,154436.12,154340.517,154225.86,154107.023,153976.03,153826.83,153645.524,153422.603,153160.629,152867.892,152546.95,152201.041,151832.962,151444.018,151035.712,150611.933,150177.231,149734.781,149286.216,148831.276,148369.069,147897.881,147415.904,146922.925,146418.368,145900.292,145366.047,144813.457,144241.511,143649.362,143034.936,142396.072,141731.141,141039.365,140320.693,139574.803,138801.896,138002.206
"    Western Europe",143134.723,143902.128,144764.55,145684.908,146639.256,147616.826,148620.929,149667.974,150785.114,152005.721,153357.095,154846.463,156449.531,158104.972,159729.141,161258.423,162669.388,163967.248,165152.334,166234.695,167221.761,168113.481,168903.418,169586.924,170158.797,170619.63,170972.408,171232.259,171428.258,171597.694,171772.284,171961.09,172172.835,172437.275,172788.624,173250.12,173830.256,174521.338,175308.744,176168.728,177078.517,178043.823,179055.127,180055.713,180972.529,181756.676,182376.168,182851.85,183252.46,183677.8,184197.959,184843.384,185587.623,186375.31,187123.739,187776.555,188312.923,188762.128,189178.132,189638.768,190199.27,190870.218,191629.833,192461.212,193335.766,194227.519,195139.839,196065.734,196955.019,197743.925,198388.516,198865.639,199191.082,199408.876,199584.515,199766.612,199968.263,200177.366,200387.883,200585.844,200761.017,200914.771,201052.61,201172.636,201272.181,201349.242,201403.214,201433.944,201440.491,201422.034,201378.057,201308.595,201214.047,201094.972,200952.216,200786.759,200599.545,200391.888,200166.004,199924.572,199669.965
"  Oceania",12975.893,13265.718,13542.582,13817.609,14099.193,14392.69,14700.237,15020.985,15351.516,15686.724,16021.632,16353.995,16686.153,17026.041,17384.629,17768.694,18181.501,18617.455,19063.872,19503.138,19922.225,20318.198,20694.096,21050.079,21387.966,21710.275,22015.367,22305.397,22592.024,22890.508,23212.084,23560.987,23934.628,24328.845,24736.218,25151.041,25572.659,26001.723,26434.887,26868.22,27298.693,27725.243,28147.954,28566.202,28979.99,29389.629,29796.471,30201.872,30607.344,31014.222,31425.087,31837.552,32254.898,32691.407,33165.766,33690.212,34271.072,34900.926,35561.162,36225.138,36873.069,37498.324,38104.732,38695.742,39278.63,39858.693,40435.631,41006.479,41570.823,42128.048,42677.809,43219.954,43755.196,44284.912,44810.871,45334.505,45856.258,46376.014,46893.451,47407.892,47918.951,48426.765,48931.403,49432.408,49928.981,50420.851,50907.699,51389.79,51867.679,52342.124,52813.578,53282.364,53748.245,54211.404,54671.893,55129.627,55584.753,56037.258,56486.93,56933.366,57376.334
"Asia and Oceania",1392132.863,1422795.391,1451436.782,1479027.102,1506354.503,1534025.644,1562457.3,1591884.505,1622382.558,1653904.355,1686391.254,1719892.238,1754667.582,1791233.276,1830235.202,1872077.704,1916948.118,1964559.189,2014234.696,2065018.465,2116158.877,2167501.824,2219071.184,2270517.944,2321479.723,2371736.342,2421094.096,2469680.019,2518015.991,2566847.737,2616748.521,2667716.31,2719660.308,2772935.647,2827953.291,2884904.923,2944031.166,3004985.839,3066638.899,3127455.2,3186316.775,3242783.634,3364858.977,3417992.876,3470055.561,3521621.236,3572774.279,3623343.387,3673361.549,3722824.277,3771745.151,3820162.638,3868158.178,3915832.463,3963301.818,4010649.007,4057905.448,4105052.154,4152051.713,4198839.85,4245354.175,4291563.111,4337431.877,4382883.193,4427825.827,4472173.028,4515873.234,4558866.808,4601048.697,4642300.739,4682525.234,4721664.946000001,4759687.442,4796554.751,4832238.949,4866719.28,4899961.547,4931951.548,4962715.851,4992299.862,5020735.868,5048031.793,5074172.807,5099142.752,5122917.524,5145481.846,5166833.874,5186986.255,5205955.993,5223766.957,5240438.458,5255981.236,5270400.03,5283702.114,5295893.826,5306982.677,5316979.337,5325896.402,5333744.974,5340536.993,5346284.863
"Sub-Saharan Africa excluding South Africa",162632.538,165674.21,168875.527,172225.95,175719.055,179352.636,183128.911,187054.298,191138.835,195395.224,199835.714,204469.095,209297.623,214316.196,219515.356,224891.633,230447.226,236196.177,242160.686,248369.234,254845.324,261596.396,268626.655,275950.376,283582.534,291533.475,299817.686,308434.178,317357.46,326550.62,335989.895,345657.561,355568.931,365773.172,376338.676,387310.388,398714.446,410524.815,422671.52,435054.948,447606.362,460308.977,473194.081,486301.028,499689.38,513408.898,527481.443,541915.258,556732.711,571955.287,587607.23,603703.681,620272.557,637364.71,655040.76,673346.776,692306.987,711922.987,732188.391,753085.17,774599.195,796723.795,829574.904,853168.926,877340.226,902087.4620000001,927409.669,953290.228,979692.635,1006570.059,1033888.792,1061628.008,1089793.126,1118408.891,1147514.972,1177137.466,1207276.73,1237914.135,1269034.217,1300614.49,1332634.667,1365083.528,1397950.985,1431218.09,1464863.523,1498867.272,1533211.934,1567882.63,1602864.574,1638143.826,1673705.481,1709533.947,1745610.94,1781914.338,1818420.25,1855107.124,1891955.914,1928952.145,1966083.32,2003339.411,2040708.251
"Africa excluding South Africa",213902.451,218130.895,222585.378,227257.127,232140.25,237231.759,242531.547,248042.373,253769.518,259720.217,265901.623,272319.283,278974.908,285866.234,292988.529,300341.164,307931.265,315770.308,323867.266,332232.451,340878.817,349809.607,359040.574,368610.477,378567.974,388949.226,399772.029,411032.714,422717.327,434800.988,447265.054,460095.482,473295.734,486884.102,500887.217,515316.452,530186.242,545467.1800000001,561074.1750000001,576892.896,592843.8149999999,608902.512,625098.804,641476.356,658103.316,675037.622,692304.885,709916.615,727903.3270000001,746296.2,765129.472,784426.858,804226.07,824591.041,845596.97,867303.9889999999,889736.026,912903.245,936831.453,961542.688,987047.84,1013353.679,1040445.239,1068280.13,1096798.815,1125949.064,1155716.691,1186083.425,1216986.437,1248350.824,1280121.3,1312263.273,1344778.307,1377693.218,1411055.652,1444898.93,1479221.421,1514004.219,1549243.972,1584934.184,1621067.313,1657635.931,1694630.305,1732036.346,1769837.193,1808015.413,1846555.382,1885440.738,1924651.083,1964164.505,2003958.957,2044015.701,2084313.892,2124825.403,2165519.628,2206369.011,2247350.87,2288447.303,2329640.382,2370914.435,2412252.804
"Northern America and Europe",750649.027,758590.494,767381.28,776768.6360000001,786548.347,796564.205,806710.985,816931.299,827210.074,837562.951,848004.2120000001,858511.774,868996.998,879291.769,889185.144,898531.7120000001,907252.312,915395.78,923106.852,930602.816,938045.116,945480.373,952871.192,960195.539,967404.914,974318.537,981231.362,988040.7120000001,994752.508,1001376.255,1007922.452,1014371.917,1020726.48,1027055.257,1033454.388,1039973.056,1046649.432,1053426.852,1060147.034,1066594.112,1072613.516,1078165.24,1015540.831,1019749.279,1023717.758,1027480.474,1031041.129,1034420.952,1037697.248,1040969.04,1044315.783,1047753.533,1051289.141,1054977.474,1058878.885,1063025.999,1067448.482,1072113.041,1076906.774,1081672.27,1086288.687,1090706.452,1094926.192,1098951.347,1102821.639,1106567.268,1110193.504,1113664.837,1116930.26,1119924.144,1122604.102,1124951.107,1126989.673,1128779.743,1130406.773,1131935.905,1133387.487,1134753.532,1136037.327,1137234.298,1138340.879,1139365.916,1140316.543,1141184.432,1141956.424,1142623.342,1143184.108,1143643.415,1144006.105,1144278.756,1144467.03,1144573.529,1144598.954,1144544.551,1144411.274,1144200.631,1143915.64,1143560.056,1143136.814,1142649.297,1142100.885
"Central and Southern Asia",493338.552,501460.114,510026.154,519036.176,528491.024,538392.59,548744.026,559549.768,570815.046,582545.64,594746.439,607420.0820000001,620565.759,634178.554,648251.183,662778.04,677768.551,693226.362,709134.768,725471.019,742225.23,759389.243,776987.005,795080.689,813753.0379999999,833065.342,853026.507,873622.941,894862.554,916747.987,939270.8270000001,962426.543,986184.404,1010473.296,1035201.054,1060289.499,1085698.141,1111402.325,1137358.471,1163524.371,1189861.406,1216334.641,1294448.164,1321702.62,1348955.979,1376199.571,1403396.445,1430528.356,1457628.365,1484748.37,1511915.31,1539136.303,1566364.501,1593507.364,1620441.537,1647073.789,1673377.855,1699363.667,1725021.188,1750350.917,1775360.533,1800024.302,1824353.197,1848437.779,1872400.987,1896327.293,1920242.522,1944108.541,1967865.603,1991423.506,2014708.531,2037699.018,2060388.839,2082736.733,2104698.32,2126236.87,2147322.484,2167939.492,2188084.069,2207761.076,2226970.141,2245701.951,2263936.798,2281652.319,2298822.195,2315426.272,2331454.044,2346903.764,2361775.364,2376073.019,2389800.356,2402954.728,2415535.391,2427551.059,2439013.792,2449932.957,2460310.546,2470145.812,2479440.947,2488197.758,2496416.818
"Eastern and South-Eastern Asia",842669.339,863806.4570000001,882455.558,899581.584,915966.552,932210.416,948722.709,965730.438,983300.545,1001377.388,1019894.871,1038896.529,1058640.325,1079643.456,1102555.091,1127782.03,1155500.404,1185418.294,1216874.261,1248933.291,1280852.786,1312481.7,1343819.873,1374465.87,1403988.35,1432113.687,1458649.513,1483728.767,1507833.119,1531661.637,1555767.503,1580137.053,1604728.224,1630014.404,1656565.309,1684698.035,1714716.737,1746285.149,1778281.206,1809157.715,1837799.004,1863781.645,1887406.617,1909174.848,1929908.972,1950219.95,1970233.241,1989767.4,2008775.811,2027138.832,2044789.22,2061763.399,2078182.429,2094161.75,2109844.449,2125348.402,2140698.113,2155914.751,2171101.65,2186376.006,2201806.674,2217429.532,2233184.325,2248916.694,2264410.499,2279489.616,2294101.295,2308227.725,2321769.758,2334622.966,2346709.481,2357973.083,2368406.83,2378049.121,2386970.624,2395225.992,2402819.638,2409739.229,2416005.97,2421644.084,2426673.388,2431110.176,2434961.534,2438226.661,2440899.461,2442978.651,2444470.018,2445388.269,2445751.774,2445583.307,2444901.458,2443719.606,2442043.762,2439876.055,2437215.182,2434063.096,2430430.766,2426332.551,2421778.116,2416777.798,2411344.084
"Western Asia and Northern Africa",94418.992,96719.787,99122.33900000001,101622.91,104218.929,106909.071,109692.964,112571.389,115546.134,118619.596,121794.221,125071.82,128452.63,131935.263,135517.472,139198.471,142981.701,146871.209,150868.375,154974.234,159192.129,163525.894,167984.129,172581.407,177335.809,182262.789,187357.052,192621.45,198088.161,203797.973,209773.266,216029.648,222539.855,229230.032,235999.251,242772.412,249515.425,256239.007,262966.99,269742.842,276595.125,283535.64,306760.965,313724.534,320624.556,327440.81,334171.564,340847.116,347520.645,354263.766,361137.776,368148.561,375309.863,382698.273,390406.276,398493.817,406987.447,415853.068,425010.775,434345.307,443762.544,453240.837,452659.958,461944.182,471194.3,480359.028,489400.808,498317.26,507136.315,515906.984,524661.921,533408.156,542121.758,550768.312,559299.814,567683.377,575907.858,583986.897,591942.116,599806.504,607606.034,615345.304,623022.392,630649.62,638240.557,645804.213,653345.561,660862.54,668347.6850000001,675789.186,683176.542,690506.292,697775.584,704974.661,712092.3370000001,719118.884,726048.228,732875.939,739596.043,746203.095,752692.1800000001
"Developing regions (M49)",1691636.578,1729435.976,1765797.272,1801622.672,1837648.054,1874443.494,1912405.358,1951764.286,1992604.196,2034895.987,2078596.74,2123756.47,2170610.433,2219619.236,2271355.988,2326174.633,2384255.04,2445330.617,2508739.081,2573548.761,2639037.499,2705048.592,2771633.038,2838536.478,2905518.29,2972447.749,3039165.143,3105782.584,3172797.603,3240909.493,3310651.778,3382007.478,3454880.959,3529605.937,3606569.714,3685935.956,3767936.423,3852191.727,3937490.759,4022196.89,4105118.393,4185781.598,4332200.047,4409851.113,4486654.209,4563223.03,4639663.71,4715805.398,4791679.424,4867273.288,4942608.203,5017737.135,5092789.724,5167949.416,5243437.287,5319422.338000001,5395959.294,5473046.377,5550716.966,5628985.162,5707838.122,5787270.945,5867219.729,5947526.304,6027982.512,6108405.713000001,6188715.569,6268840.656,6348616.656,6427860.44,6506424.105,6584210.725,6661176.126,6737296.868,6812577.475,6887017.666,6960574.416,7033209.565,7104936.843,7175785.854,7245773.498,7314894.169,7383119.961,7450419.846,7516753.851,7582089.871,7646408.652,7709704.114,7771971.963000001,7833214.074,7893427.234,7952603.024,8010725.214,8067773.951,8123726.563,8178564.268,8232276.383,8284857.38,8336299.704,8386597.568,8435746.25
"Developed regions (M49)",844794.438,854598.247,865064.416,875986.387,887198.697,898576.421,910037.895,921541.769,933082.482,944680.156,956352.969,968087.036,979810.326,991381.705,1002622.283,1013408.876,1023667.59,1033439.485,1042860.351,1052132.203,1061399.543,1070711.438,1080017.547,1089244.04,1098275.888,1106884.742,1115341.896,1123555.607,1131562.388,1139420.221,1147175.32,1154817.513,1162337.583,1169797.23,1177279.029,1184823.507,1192466.977,1200160.612,1207758.387,1215061.152,1221925.882,1228319.715,1166530.33,1171553.783,1176298.254,1180785.351,1185016.095,1189019.808,1192884.966,1196726.362,1200636.326,1204630.653,1208716.095,1212960.453,1217439.654,1222195.48,1227264.044,1232603.624,1238076.699,1243491.693,1248702.229,1253649.189,1258337.122,1262773.801,1267008.433,1271077.929,1274987.73,1278698.062,1282155.241,1285290.078,1288058.215,1290440.538,1292464.399,1294194.259,1295721.699,1297117.047,1298402.986,1299573.12,1300634.482,1301586.525,1302429.071,1303173.901,1303829.786,1304388.635,1304836.721,1305164.943,1305373.354,1305468.985,1305459.384,1305354.268,1305161.91,1304886.124,1304528.422,1304091.524,1303577.768,1302989.64,1302330.607,1301604.386,1300813.391,1299960.21,1299047.222
"Developing economies: Asia and Oceania",1297987.452,1326787.638,1353753.646,1379809.351,1405704.153,1432013.428,1459130.39,1487274.035,1516510.15,1546787.15,1578042.497,1610316.976,1643854.254,1679143.34,1716798.063,1757200.54,1800532.84,1846515.484,1894481.197,1943489.078,1992804.45,2042270.759,2091924.829,2141469.443,2190608.749,2239170.137,2286983.562,2334165.124,2381206.111,2428803.771,2477495.653,2527270.714,2578049.205,2630193.674,2684128.65,2740054.472,2798213.621,2858252.079,2919027.546,2978988.16,3037004.409,3092629.159,3213869.478,3266188.372,3317475.065,3368316.359,3418799.313,3468744.531,3518173.831,3567066.955,3615424.608,3663285.518,3710731.224,3757849.484,3804741.049,3851479.526,3898089.886,3944561.571,3990881.788,4037020.427,4082940.633,4128620.374,4174020.947,4219060.739,4263639.033,4307662.367,4351079.008,4393833.583,4435823.716,4476934.805,4517071.121,4556175.515,4594212.716,4631140.235,4666924.023,4701538.138,4734946.048,4767131.96,4798118.696000001,4827947.635,4856647.676,4884223.808,4910659.564,4935938.549,4960037.227,4982940.245,5004644.628,5025160.685,5044502.714,5062691.445,5079743.578,5095668.641,5110470.562,5124155.141,5136727.332,5148193.668,5158564.37,5167852.072,5176068.397,5183226.08,5189338.526
"Developing economies: Asia",1295096.918,1323868.073,1350798.937,1376814.156,1402663.568,1428922.826,1455985.394,1484070.337,1513243.362,1543452.629,1574635.534,1606832.881,1640288.713,1675492.664,1713059.389,1753371.681,1796611.826,1842500.349,1890369.85,1939279.229,1988493.646,2037856.508,2087404.583,2136840.566,2185868.532,2234315.774,2282012.491,2329074.678,2375992.448,2423461.566,2472018.579,2521651.791,2572282.317,2624275.205,2678058.622,2733835.337,2791848.846,2851744.266,2912377.704,2972194.885,3030064.491,3085539.322,3206626.897,3258789.854,3309916.873,3360594.753,3410909.468,3460682.219,3509937.49,3558659.048,3606849.947,3654550.583,3701840.894,3748804.314,3795535.358,3842103.21,3888530.995,3934810.03,3980931.075,4026869.479,4072592.311,4118078.726,4163288.628,4208138.428,4252524.351,4296350.7,4339565.352,4382113.752,4423894.177,4464793.019,4504715.426,4543604.42,4581424.514,4618133.372,4653697.111,4688089.835,4721275.251,4753237.686,4784000.172,4813604.327,4842079.166,4869429.771,4895639.912,4920693.324,4944566.806,4967245.06,4988725.343,5009018.03,5028137.449,5046104.321000001,5062935.49,5078640.381,5093223.206,5106689.742,5119045.025,5130295.754,5140452.15,5149526.949,5157531.822,5164479.696000001,5170384.091
"Developing economies: Oceania",2890.534,2919.565,2954.709,2995.195,3040.585,3090.602,3144.996,3203.698,3266.788,3334.521,3406.963,3484.095,3565.541,3650.676,3738.674,3828.859,3921.014,4015.135,4111.347,4209.849,4310.804,4414.251,4520.246,4628.877,4740.217,4854.363,4971.071,5090.446,5213.663,5342.205,5477.074,5618.923,5766.888,5918.469,6070.028,6219.135,6364.775,6507.813,6649.842,6793.275,6939.918,7089.837,7242.581,7398.518,7558.192,7721.606,7889.845,8062.312,8236.341,8407.906999999999,8574.661,8734.935,8890.33,9045.17,9205.691000000001,9376.316000000001,9558.891,9751.540999999999,9950.713,10150.948,10348.322,10541.648,10732.319,10922.311,11114.682,11311.667,11513.656,11719.831,11929.539,12141.786,12355.695,12571.095,12788.202,13006.863,13226.912,13448.303,13670.797,13894.274,14118.524,14343.308,14568.51,14794.037,15019.652,15245.225,15470.421,15695.185,15919.285,16142.655,16365.265,16587.124,16808.088,17028.26,17247.356,17465.399,17682.307,17897.914,18112.22,18325.123,18536.575,18746.384,18954.435
